chr,start,end,name,score,value,exp,classre,region1Chrom,region1Start,regionEnd,region1Name,region1Strand,region2Chrom,region2Start,region2End,region2Name
chr2,254681,264097,genic|chr2:254531-255326,0,3.959698,.,cis,chr2,254681,255176,genic|chr2:254531-255326,.,chr2,218135,264097,SH3YL1	-
chr2,254681,278282,genic|chr2:254531-255326,0,3.959698,.,cis,chr2,254681,255176,genic|chr2:254531-255326,.,chr2,264868,278282,ACP1	+
chr2,254681,288308,genic|chr2:254531-255326,0,3.959698,.,cis,chr2,254681,255176,genic|chr2:254531-255326,.,chr2,279560,288308,ALKAL2	-
chr2,260818,264097,genic|chr2:260668-261248,0,6.857031,.,cis,chr2,260818,261098,genic|chr2:260668-261248,.,chr2,218135,264097,SH3YL1	-
chr2,260818,278282,genic|chr2:260668-261248,0,6.857031,.,cis,chr2,260818,261098,genic|chr2:260668-261248,.,chr2,264868,278282,ACP1	+
chr2,260818,288308,genic|chr2:260668-261248,0,6.857031,.,cis,chr2,260818,261098,genic|chr2:260668-261248,.,chr2,279560,288308,ALKAL2	-
chr2,264097,264733,promoter|chr2:264583-265362,0,7.633925,.,cis,chr2,264733,265212,promoter|chr2:264583-265362,.,chr2,218135,264097,SH3YL1	-
chr2,264097,269232,genic|chr2:269082-269903,0,2.865357,.,cis,chr2,269232,269753,genic|chr2:269082-269903,.,chr2,218135,264097,SH3YL1	-
chr2,264097,270847,genic|chr2:270697-271305,0,4.402827,.,cis,chr2,270847,271155,genic|chr2:270697-271305,.,chr2,218135,264097,SH3YL1	-
chr2,264097,280651,genic|chr2:280501-281265,0,2.928883,.,cis,chr2,280651,281115,genic|chr2:280501-281265,.,chr2,218135,264097,SH3YL1	-
chr2,264097,289662,intergenic|chr2:289512-290574,0,7.11169,.,cis,chr2,289662,290424,intergenic|chr2:289512-290574,.,chr2,218135,264097,SH3YL1	-
chr2,264097,675120,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,218135,264097,SH3YL1	-
chr2,264733,278282,promoter|chr2:264583-265362,0,7.633925,.,cis,chr2,264733,265212,promoter|chr2:264583-265362,.,chr2,264868,278282,ACP1	+
chr2,269232,278282,genic|chr2:269082-269903,0,2.865357,.,cis,chr2,269232,269753,genic|chr2:269082-269903,.,chr2,264868,278282,ACP1	+
chr2,269232,288308,genic|chr2:269082-269903,0,2.865357,.,cis,chr2,269232,269753,genic|chr2:269082-269903,.,chr2,279560,288308,ALKAL2	-
chr2,270847,278282,genic|chr2:270697-271305,0,4.402827,.,cis,chr2,270847,271155,genic|chr2:270697-271305,.,chr2,264868,278282,ACP1	+
chr2,270847,288308,genic|chr2:270697-271305,0,4.402827,.,cis,chr2,270847,271155,genic|chr2:270697-271305,.,chr2,279560,288308,ALKAL2	-
chr2,278282,280651,genic|chr2:280501-281265,0,2.928883,.,cis,chr2,280651,281115,genic|chr2:280501-281265,.,chr2,264868,278282,ACP1	+
chr2,278282,289662,intergenic|chr2:289512-290574,0,7.11169,.,cis,chr2,289662,290424,intergenic|chr2:289512-290574,.,chr2,264868,278282,ACP1	+
chr2,278282,675120,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,264868,278282,ACP1	+
chr2,280651,288308,genic|chr2:280501-281265,0,2.928883,.,cis,chr2,280651,281115,genic|chr2:280501-281265,.,chr2,279560,288308,ALKAL2	-
chr2,287069,288308,promoter|chr2:286919-288558,0,4.327862,.,cis,chr2,287069,288408,promoter|chr2:286919-288558,.,chr2,279560,288308,ALKAL2	-
chr2,288308,288976,intergenic|chr2:288826-289326,0,1.155468,.,cis,chr2,288976,289176,intergenic|chr2:288826-289326,.,chr2,279560,288308,ALKAL2	-
chr2,288308,289662,intergenic|chr2:289512-290574,0,7.11169,.,cis,chr2,289662,290424,intergenic|chr2:289512-290574,.,chr2,279560,288308,ALKAL2	-
chr2,288308,675120,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,279560,288308,ALKAL2	-
chr2,675120,1748319,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,1635658,1748319,PXDN	-
chr2,675120,677439,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,667972,677439,TMEM18	-
chr2,676829,677439,promoter|chr2:676679-677689,0,25.041201,.,cis,chr2,676829,677539,promoter|chr2:676679-677689,.,chr2,667972,677439,TMEM18	-
chr2,1732456,1748319,genic|chr2:1732306-1732999,0,1.439737,.,cis,chr2,1732456,1732849,genic|chr2:1732306-1732999,.,chr2,1635658,1748319,PXDN	-
chr2,1746771,1748319,genic|chr2:1746621-1747192,0,1.954929,.,cis,chr2,1746771,1747042,genic|chr2:1746621-1747192,.,chr2,1635658,1748319,PXDN	-
chr2,1748319,1754681,intergenic|chr2:1754531-1755031,0,0.428078,.,cis,chr2,1754681,1754881,intergenic|chr2:1754531-1755031,.,chr2,1635658,1748319,PXDN	-
chr2,1748319,2668776,intergenic|chr2:2668626-2669774,0,14.851335,.,cis,chr2,2668776,2669624,intergenic|chr2:2668626-2669774,.,chr2,1635658,1748319,PXDN	-
chr2,1748319,3146145,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,1635658,1748319,PXDN	-
chr2,1748319,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,1635658,1748319,PXDN	-
chr2,1748319,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,1635658,1748319,PXDN	-
chr2,2332723,2335085,genic|chr2:2332573-2333073,0,0.944058,.,cis,chr2,2332723,2332923,genic|chr2:2332573-2333073,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,2336878,intergenic|chr2:2336728-2337304,0,1.202649,.,cis,chr2,2336878,2337154,intergenic|chr2:2336728-2337304,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,2617078,intergenic|chr2:2616928-2617876,0,6.953524,.,cis,chr2,2617078,2617726,intergenic|chr2:2616928-2617876,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,2668776,intergenic|chr2:2668626-2669774,0,14.851335,.,cis,chr2,2668776,2669624,intergenic|chr2:2668626-2669774,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,3146145,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,3306463,genic|chr2:3306313-3307077,0,9.444686,.,cis,chr2,3306463,3306927,genic|chr2:3306313-3307077,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,3497539,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,1792884,2335085,MYT1L	-
chr2,2335085,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,1792884,2335085,MYT1L	-
chr2,2668776,3129798,intergenic|chr2:2668626-2669774,0,14.851335,.,cis,chr2,2668776,2669624,intergenic|chr2:2668626-2669774,.,chr2,2898819,3129798,LINC01250	-
chr2,2668776,3692234,intergenic|chr2:2668626-2669774,0,14.851335,.,cis,chr2,2668776,2669624,intergenic|chr2:2668626-2669774,.,chr2,3642421,3692234,COLEC11	+
chr2,3104941,3129798,genic|chr2:3104791-3105861,0,3.197457,.,cis,chr2,3104941,3105711,genic|chr2:3104791-3105861,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3130570,intergenic|chr2:3130420-3131919,0,5.029492,.,cis,chr2,3130570,3131769,intergenic|chr2:3130420-3131919,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3146145,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3306463,genic|chr2:3306313-3307077,0,9.444686,.,cis,chr2,3306463,3306927,genic|chr2:3306313-3307077,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,2898819,3129798,LINC01250	-
chr2,3129798,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,2898819,3129798,LINC01250	-
chr2,3146145,3381703,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,3192694,3381703,TSSC1	-
chr2,3146145,3483342,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3146145,3692234,intergenic|chr2:3145995-3147541,0,14.457665,.,cis,chr2,3146145,3147391,intergenic|chr2:3145995-3147541,.,chr2,3642421,3692234,COLEC11	+
chr2,3306463,3381703,genic|chr2:3306313-3307077,0,9.444686,.,cis,chr2,3306463,3306927,genic|chr2:3306313-3307077,.,chr2,3192694,3381703,TSSC1	-
chr2,3306463,3483342,genic|chr2:3306313-3307077,0,9.444686,.,cis,chr2,3306463,3306927,genic|chr2:3306313-3307077,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3381083,3381703,promoter|chr2:3380933-3381954,0,11.24878,.,cis,chr2,3381083,3381804,promoter|chr2:3380933-3381954,.,chr2,3192694,3381703,TSSC1	-
chr2,3381083,3483342,promoter|chr2:3380933-3381954,0,11.24878,.,cis,chr2,3381083,3381804,promoter|chr2:3380933-3381954,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3381703,3383332,promoter|chr2:3383182-3383937,0,7.091603,.,cis,chr2,3383332,3383787,promoter|chr2:3383182-3383937,.,chr2,3192694,3381703,TSSC1	-
chr2,3381703,3497539,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3192694,3381703,TSSC1	-
chr2,3381703,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3192694,3381703,TSSC1	-
chr2,3381703,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3192694,3381703,TSSC1	-
chr2,3381703,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3192694,3381703,TSSC1	-
chr2,3383332,3483342,promoter|chr2:3383182-3383937,0,7.091603,.,cis,chr2,3383332,3383787,promoter|chr2:3383182-3383937,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3483342,3497539,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3483342,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3483342,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3483342,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3383445,3483342,TRAPPC12	+
chr2,3497539,3523350,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3501689,3523350,ADI1	-
chr2,3497539,3605961,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3592481,3605961,RNASEH1	-
chr2,3497539,3609340,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3497539,3628509,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3622852,3628509,RPS7	+
chr2,3497539,3692234,intergenic|chr2:3497389-3498384,0,9.965538,.,cis,chr2,3497539,3498234,intergenic|chr2:3497389-3498384,.,chr2,3642421,3692234,COLEC11	+
chr2,3522178,3523350,promoter|chr2:3522028-3523807,0,16.483993,.,cis,chr2,3522178,3523657,promoter|chr2:3522028-3523807,.,chr2,3501689,3523350,ADI1	-
chr2,3523350,3528719,intergenic|chr2:3528569-3529437,0,1.369951,.,cis,chr2,3528719,3529287,intergenic|chr2:3528569-3529437,.,chr2,3501689,3523350,ADI1	-
chr2,3523350,3583562,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3501689,3523350,ADI1	-
chr2,3523350,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3501689,3523350,ADI1	-
chr2,3523350,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3501689,3523350,ADI1	-
chr2,3583562,3605961,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3592481,3605961,RNASEH1	-
chr2,3583562,3609340,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3583562,3628509,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3622852,3628509,RPS7	+
chr2,3583562,3692234,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3642421,3692234,COLEC11	+
chr2,3583562,3750260,intergenic|chr2:3583412-3584702,0,31.017458,.,cis,chr2,3583562,3584552,intergenic|chr2:3583412-3584702,.,chr2,3705785,3750260,ALLC	+
chr2,3605853,3605961,promoter|chr2:3605703-3606284,0,10.139828,.,cis,chr2,3605853,3606134,promoter|chr2:3605703-3606284,.,chr2,3592481,3605961,RNASEH1	-
chr2,3605853,3609340,promoter|chr2:3605703-3606284,0,10.139828,.,cis,chr2,3605853,3606134,promoter|chr2:3605703-3606284,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3605961,3615543,intergenic|chr2:3615393-3616172,0,1.845859,.,cis,chr2,3615543,3616022,intergenic|chr2:3615393-3616172,.,chr2,3592481,3605961,RNASEH1	-
chr2,3605961,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3592481,3605961,RNASEH1	-
chr2,3605961,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3592481,3605961,RNASEH1	-
chr2,3609340,3615543,intergenic|chr2:3615393-3616172,0,1.845859,.,cis,chr2,3615543,3616022,intergenic|chr2:3615393-3616172,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3609340,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3609340,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3605976,3609340,RNASEH1-AS1	+
chr2,3615543,3628509,intergenic|chr2:3615393-3616172,0,1.845859,.,cis,chr2,3615543,3616022,intergenic|chr2:3615393-3616172,.,chr2,3622852,3628509,RPS7	+
chr2,3622512,3628509,promoter|chr2:3622362-3623102,0,6.911932,.,cis,chr2,3622512,3622952,promoter|chr2:3622362-3623102,.,chr2,3622852,3628509,RPS7	+
chr2,3628509,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3622852,3628509,RPS7	+
chr2,3628509,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3622852,3628509,RPS7	+
chr2,3631527,3692234,intergenic|chr2:3631377-3632183,0,1.323882,.,cis,chr2,3631527,3632033,intergenic|chr2:3631377-3632183,.,chr2,3642421,3692234,COLEC11	+
chr2,3651750,3692234,genic|chr2:3651600-3652256,0,3.174933,.,cis,chr2,3651750,3652106,genic|chr2:3651600-3652256,.,chr2,3642421,3692234,COLEC11	+
chr2,3692234,3699274,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3642421,3692234,COLEC11	+
chr2,3692234,3706729,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3642421,3692234,COLEC11	+
chr2,3699274,3750260,intergenic|chr2:3699124-3700079,0,9.949198,.,cis,chr2,3699274,3699929,intergenic|chr2:3699124-3700079,.,chr2,3705785,3750260,ALLC	+
chr2,3704417,3750260,promoter|chr2:3704267-3705344,0,11.161027,.,cis,chr2,3704417,3705194,promoter|chr2:3704267-3705344,.,chr2,3705785,3750260,ALLC	+
chr2,3706729,3750260,genic|chr2:3706579-3707723,0,25.154733,.,cis,chr2,3706729,3707573,genic|chr2:3706579-3707723,.,chr2,3705785,3750260,ALLC	+
chr2,5831150,5831250,promoter|chr2:5831000-5833048,0,4.975096,.,cis,chr2,5831150,5832898,promoter|chr2:5831000-5833048,.,chr2,5774272,5831250,LINC01248	-
chr2,5831150,5841517,promoter|chr2:5831000-5833048,0,4.975096,.,cis,chr2,5831150,5832898,promoter|chr2:5831000-5833048,.,chr2,5832798,5841517,SOX11	+
chr2,5831250,5837181,genic|chr2:5837031-5837531,0,0.684954,.,cis,chr2,5837181,5837381,genic|chr2:5837031-5837531,.,chr2,5774272,5831250,LINC01248	-
chr2,5831250,6326538,intergenic|chr2:6326388-6327326,0,16.177352,.,cis,chr2,6326538,6327176,intergenic|chr2:6326388-6327326,.,chr2,5774272,5831250,LINC01248	-
chr2,5831250,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,5774272,5831250,LINC01248	-
chr2,5831250,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,5774272,5831250,LINC01248	-
chr2,5831250,7171372,genic|chr2:7171222-7172304,0,14.440372,.,cis,chr2,7171372,7172154,genic|chr2:7171222-7172304,.,chr2,5774272,5831250,LINC01248	-
chr2,5837181,5841517,genic|chr2:5837031-5837531,0,0.684954,.,cis,chr2,5837181,5837381,genic|chr2:5837031-5837531,.,chr2,5832798,5841517,SOX11	+
chr2,5841517,6326538,intergenic|chr2:6326388-6327326,0,16.177352,.,cis,chr2,6326538,6327176,intergenic|chr2:6326388-6327326,.,chr2,5832798,5841517,SOX11	+
chr2,5841517,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,5832798,5841517,SOX11	+
chr2,5841517,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,5832798,5841517,SOX11	+
chr2,5841517,7171372,genic|chr2:7171222-7172304,0,14.440372,.,cis,chr2,7171372,7172154,genic|chr2:7171222-7172304,.,chr2,5832798,5841517,SOX11	+
chr2,6116712,6128364,genic|chr2:6116562-6117293,0,0.737954,.,cis,chr2,6116712,6117143,genic|chr2:6116562-6117293,.,chr2,6122109,6128364,LOC400940	+
chr2,6128364,6213752,intergenic|chr2:6213602-6214721,0,5.476799,.,cis,chr2,6213752,6214571,intergenic|chr2:6213602-6214721,.,chr2,6122109,6128364,LOC400940	+
chr2,6128364,6326538,intergenic|chr2:6326388-6327326,0,16.177352,.,cis,chr2,6326538,6327176,intergenic|chr2:6326388-6327326,.,chr2,6122109,6128364,LOC400940	+
chr2,6128364,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,6122109,6128364,LOC400940	+
chr2,6128364,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,6122109,6128364,LOC400940	+
chr2,6128364,7171372,genic|chr2:7171222-7172304,0,14.440372,.,cis,chr2,7171372,7172154,genic|chr2:7171222-7172304,.,chr2,6122109,6128364,LOC400940	+
chr2,6326538,7005950,intergenic|chr2:6326388-6327326,0,16.177352,.,cis,chr2,6326538,6327176,intergenic|chr2:6326388-6327326,.,chr2,6988439,7005950,CMPK2	-
chr2,6326538,7038363,intergenic|chr2:6326388-6327326,0,16.177352,.,cis,chr2,6326538,6327176,intergenic|chr2:6326388-6327326,.,chr2,7017795,7038363,RSAD2	+
chr2,7003894,7005950,genic|chr2:7003744-7004434,0,1.191748,.,cis,chr2,7003894,7004284,genic|chr2:7003744-7004434,.,chr2,6988439,7005950,CMPK2	-
chr2,7005197,7005950,promoter|chr2:7005047-7006967,0,5.548596,.,cis,chr2,7005197,7006817,promoter|chr2:7005047-7006967,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,7067133,genic|chr2:7066983-7067795,0,8.50217,.,cis,chr2,7067133,7067645,genic|chr2:7066983-7067795,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,7148033,genic|chr2:7147883-7148982,0,6.090587,.,cis,chr2,7148033,7148832,genic|chr2:7147883-7148982,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,7171372,genic|chr2:7171222-7172304,0,14.440372,.,cis,chr2,7171372,7172154,genic|chr2:7171222-7172304,.,chr2,6988439,7005950,CMPK2	-
chr2,7005950,8265730,genic|chr2:8265580-8266911,0,22.89877,.,cis,chr2,8265730,8266761,genic|chr2:8265580-8266911,.,chr2,6988439,7005950,CMPK2	-
chr2,7038363,7067133,genic|chr2:7066983-7067795,0,8.50217,.,cis,chr2,7067133,7067645,genic|chr2:7066983-7067795,.,chr2,7017795,7038363,RSAD2	+
chr2,7038363,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,7017795,7038363,RSAD2	+
chr2,7038363,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,7017795,7038363,RSAD2	+
chr2,7038363,7171372,genic|chr2:7171222-7172304,0,14.440372,.,cis,chr2,7171372,7172154,genic|chr2:7171222-7172304,.,chr2,7017795,7038363,RSAD2	+
chr2,7038363,7987625,intergenic|chr2:7987475-7989036,0,13.908461,.,cis,chr2,7987625,7988886,intergenic|chr2:7987475-7989036,.,chr2,7017795,7038363,RSAD2	+
chr2,7038363,8265730,genic|chr2:8265580-8266911,0,22.89877,.,cis,chr2,8265730,8266761,genic|chr2:8265580-8266911,.,chr2,7017795,7038363,RSAD2	+
chr2,7058813,7061657,genic|chr2:7061507-7062007,0,1.808571,.,cis,chr2,7061657,7061857,genic|chr2:7061507-7062007,.,chr2,7052406,7058813,RNF144A-AS1	-
chr2,7058813,7067133,genic|chr2:7066983-7067795,0,8.50217,.,cis,chr2,7067133,7067645,genic|chr2:7066983-7067795,.,chr2,7052406,7058813,RNF144A-AS1	-
chr2,7058813,7098096,genic|chr2:7097946-7098858,0,5.052207,.,cis,chr2,7098096,7098708,genic|chr2:7097946-7098858,.,chr2,7052406,7058813,RNF144A-AS1	-
chr2,7058813,7148033,genic|chr2:7147883-7148982,0,6.090587,.,cis,chr2,7148033,7148832,genic|chr2:7147883-7148982,.,chr2,7052406,7058813,RNF144A-AS1	-
chr2,7058813,7151555,genic|chr2:7151405-7153038,0,20.09592,.,cis,chr2,7151555,7152888,genic|chr2:7151405-7153038,.,chr2,7052406,7058813,RNF144A-AS1	-
chr2,7058813,7157909,genic|chr2:7157759-7158710,0,14.43474,.,cis,chr2,7157909,7158560,genic|chr2:7157759-7158710,.,chr2,7052406,7058813,RNF144A-AS1	-
