chr,start,end,score
chr2,3365844,3367316,0.490020337
chr2,3367316,3368788,0.399373712
chr2,3368788,3370260,0.466666685
chr2,3370260,3371732,0.299863388
chr2,3371732,3373204,0.377931576
chr2,3373479,3374951,0.31652779
chr2,3374951,3376423,0.217493248
chr2,3376423,3377895,0.249525183
chr2,3377895,3379367,0.32991071
chr2,3379558,3380662,0.256578967
chr2,3380823,3382295,0.38507567
chr2,3382295,3383767,0.380910376
chr2,3383767,3385239,0.38953806
chr2,3385239,3386711,0.469157592
chr2,3386711,3388183,0.334714682
chr2,3388183,3389655,0.511359593
chr2,3389655,3391127,0.5114911
chr2,3391127,3392599,0.327348639
chr2,3392599,3393718,0.384496083
chr2,3393718,3395190,0.361331343
chr2,3395190,3396662,0.443704931
chr2,3396662,3398134,0.447282584
chr2,3398134,3399606,0.561644015
chr2,3399606,3401078,0.435320381
chr2,3401078,3402550,0.500407592
chr2,3402550,3404022,0.297078817
chr2,3404022,3405494,0.310081533
chr2,3405494,3406966,0.640974818
chr2,3406966,3408438,0.448845117
chr2,3408438,3409910,0.36831478
chr2,3409922,3411394,0.334198464
chr2,3411394,3412866,0.437123494
chr2,3412866,3414338,0.41827957
chr2,3414338,3415487,0.457601844
chr2,3415487,3416959,0.603186151
chr2,3416959,3418431,0.581682526
chr2,3418431,3419903,2.664680979
chr2,3419903,3421375,2.154273158
chr2,3421375,3422847,0.491983662
chr2,3422847,3424319,1.891345149
chr2,3424319,3425791,0.699463305
chr2,3425791,3427263,0.564103251
chr2,3427263,3428735,0.43858694
chr2,3428735,3430207,0.500902185
chr2,3430207,3431679,0.483286696
chr2,3431679,3433151,0.330419263
chr2,3433151,3434597,0.256839886
chr2,3434597,3435869,0.410209663
chr2,3435869,3437341,0.537499967
chr2,3437341,3438813,0.381989789
chr2,3438813,3439917,0.364982381
chr2,3439935,3441407,0.298913043
chr2,3441407,3442879,0.554048953
chr2,3442879,3444351,0.533488378
chr2,3444351,3445459,0.315700012
chr2,3445459,3446931,0.336073378
chr2,3446931,3448403,0.286134798
chr2,3448403,3449875,0.469889477
chr2,3449875,3451347,0.622078854
chr2,3451347,3452819,0.484563253
chr2,3452819,3454291,0.600492748
chr2,3454291,3455395,0.356949795
chr2,3455556,3457028,0.445895797
chr2,3457028,3458500,0.303553684
chr2,3458500,3459604,0.416161647
chr2,3459789,3460893,0.381231672
chr2,3460899,3462371,0.359158188
chr2,3462371,3463589,0.393412626
chr2,3463589,3465061,0.331057755
chr2,3465061,3466533,0.447892216
chr2,3466533,3468005,0.319373657
chr2,3468005,3469477,0.580558954
chr2,3469477,3470949,0.425484739
chr2,3470949,3472421,0.608206542
chr2,3472421,3473583,0.305994297
chr2,3473583,3475055,2.298002658
chr2,3475055,3476527,1.798763939
chr2,3476527,3477999,0.401432469
chr2,3477999,3479471,0.35210597
chr2,3479471,3480610,0.453188936
chr2,3480610,3482082,0.402474077
chr2,3482082,3483186,0.397350259
chr2,3483378,3484114,0.173719376
chr2,3486021,3486757,0.204724409
chr2,3487144,3488248,0.339552239
chr2,3488763,3489991,0.231380338
chr2,3489991,3491463,0.405555564
chr2,3491463,3492935,0.38559781
chr2,3492935,3494407,0.413247316
chr2,3494407,3495879,0.474116864
chr2,3495879,3497351,0.568342375
chr2,3497351,3498823,0.438519022
chr2,3498823,3500295,0.348369598
chr2,3500295,3501596,0.288042442
chr2,3501596,3503068,0.394307095
chr2,3503068,3504540,0.536005435
chr2,3504540,3506012,0.581182065
chr2,3506012,3507484,0.599590845
chr2,3507484,3508956,0.518322314
chr2,3508956,3510428,0.563904317
chr2,3510428,3511900,0.573254088
chr2,3511900,3513372,4.428146031
chr2,3513372,3514844,0.578598763
chr2,3514844,3516316,0.369739637
chr2,3516316,3517788,0.318675586
chr2,3517809,3518979,0.410053502
chr2,3518979,3520451,0.406589674
chr2,3520451,3521923,0.428217822
chr2,3521923,3523395,0.441513611
chr2,3523395,3524629,0.458413002
chr2,3524629,3526101,0.612832857
chr2,3526101,3527573,0.518817764
chr2,3527573,3529045,0.46653114
chr2,3529384,3530510,0.265447146
chr2,3530510,3531982,0.51453806
chr2,3531982,3533454,0.35749318
chr2,3533454,3534926,0.337127008
chr2,3534926,3536398,0.378439442
chr2,3536398,3537502,0.29121116
chr2,3537871,3539343,0.339651639
chr2,3539343,3540447,0.620717578
chr2,3540936,3542408,0.591637238
chr2,3542408,3543713,0.21818183
chr2,3543713,3545185,0.412921391
chr2,3545185,3546657,0.306223855
chr2,3546657,3548129,0.661599639
chr2,3548129,3549601,0.441549806
chr2,3549601,3551073,0.263414634
chr2,3551073,3552545,0.282841605
chr2,3552545,3554017,0.344751369
chr2,3554017,3555489,0.383548161
chr2,3555489,3556961,0.274806829
chr2,3556961,3558433,0.318478253
chr2,3558433,3559905,0.215822799
chr2,3560007,3561479,0.40013587
chr2,3561479,3562653,0.445267477
chr2,3562653,3564125,0.286816291
chr2,3564125,3565597,0.331992699
chr2,3565609,3567081,0.411548946
chr2,3567081,3568553,0.275769231
chr2,3568553,3570025,0.539809766
chr2,3570025,3571497,0.389373537
chr2,3571497,3572969,0.494130179
chr2,3572969,3574441,0.614938033
chr2,3574441,3575913,0.466106561
chr2,3575913,3577385,0.418750017
chr2,3577385,3578857,0.428668478
chr2,3578857,3580329,0.486519643
chr2,3580352,3581499,0.180834633
chr2,3581524,3582628,0.327731092
chr2,3582656,3584128,0.599904931
chr2,3584128,3585338,0.254825907
chr2,3585338,3586460,0.347323124
chr2,3586460,3587932,0.503362739
chr2,3587932,3589404,0.543885853
chr2,3589404,3590876,0.608743253
chr2,3590876,3592348,0.322666686
chr2,3592348,3593820,0.444361396
chr2,3593820,3595292,0.564397466
chr2,3595292,3596764,0.487342375
chr2,3596764,3598236,0.510394055
chr2,3598236,3599708,1.3491279
chr2,3599708,3601180,0.346904624
chr2,3601180,3602652,0.408632605
chr2,3602652,3604124,0.310818722
chr2,3604448,3605674,0.178311959
chr2,3605674,3606410,0.16814581
chr2,3606786,3608258,0.364809783
chr2,3608258,3609730,0.356044758
chr2,3609730,3611202,0.621019032
chr2,3611202,3612607,0.329213483
chr2,3612607,3614079,0.554874054
chr2,3614079,3615551,0.258911269
chr2,3615551,3617023,0.469842358
chr2,3617023,3618173,0.552177988
chr2,3618173,3619645,0.372922858
chr2,3619645,3621117,0.424728269
chr2,3621117,3622221,0.514449657
chr2,3622323,3623795,0.288283366
chr2,3623795,3624899,0.517150936
chr2,3624939,3626113,0.240331513
chr2,3626113,3627585,0.48244536
chr2,3627868,3629340,0.34795539
chr2,3629416,3630888,0.287567947
chr2,3630888,3632360,0.664123701
chr2,3632360,3633832,0.457954555
chr2,3633832,3634989,0.34168242
chr2,3634989,3636093,0.516947449
chr2,3636107,3637579,0.425679331
chr2,3637579,3639051,0.365217458
chr2,3639051,3640223,0.445673077
chr2,3640223,3641695,0.401290769
chr2,3641695,3643167,0.228000019
chr2,3643167,3644271,0.388618798
chr2,3644446,3645821,0.281834874
chr2,3645821,3647293,0.503532658
chr2,3647293,3648765,0.452445652
chr2,3648765,3650237,0.378842186
chr2,3650237,3651709,0.588097863
chr2,3651709,3652884,0.250234302
chr2,3652884,3654356,0.539871498
chr2,3654356,3655828,0.552921212
chr2,3655828,3657300,0.426995134
chr2,3657300,3658772,0.50677682
chr2,3658772,3660244,0.495423989
chr2,3660244,3661348,0.327367436
chr2,3661398,3662870,0.372069473
chr2,3662870,3664016,0.258700229
chr2,3664016,3665488,0.413858745
chr2,3665488,3666960,0.325499269
chr2,3666971,3668075,0.266459627
chr2,3668105,3669577,0.372186389
chr2,3669577,3671049,0.390484592
chr2,3671049,3672211,0.328275834
chr2,3672318,3673790,0.266924162
chr2,3673790,3675262,0.328250201
chr2,3675262,3676734,0.519972843
chr2,3676734,3678206,0.262134606
chr2,3678206,3679311,0.354175811
chr2,3679314,3680465,0.232780494
chr2,3680465,3681937,0.242323378
chr2,3681937,3683266,0.362250463
chr2,3683266,3684738,0.75250001
chr2,3684738,3686210,0.522823885
chr2,3686210,3687682,0.373391804
chr2,3687682,3689154,0.47621331
chr2,3689154,3690626,0.428858674
chr2,3690626,3692098,0.610647139
chr2,3692098,3693219,0.435412878
chr2,3693219,3694691,0.430763911
chr2,3694691,3696163,0.477907312
chr2,3696163,3697272,0.47306636
chr2,3697272,3698744,0.53581528
chr2,3698744,3700078,0.442067736
chr2,3700078,3701550,0.534470294
chr2,3701550,3703022,0.476290744
chr2,3703022,3704494,0.484608312
chr2,3704494,3705966,0.477494775
chr2,3705966,3707438,0.409309273
chr2,3707470,3708656,0.217106659
chr2,3708656,3710128,0.317705172
chr2,3710128,3711278,0.311838474
chr2,3711278,3712750,0.949864097
chr2,3712750,3714222,3.951513871
chr2,3714222,3715694,1.098561834
chr2,3715694,3717166,0.548097859
chr2,3717166,3718638,1.004144005
chr2,3718638,3720110,0.392491468
chr2,3720110,3721582,0.53063857
chr2,3721582,3723054,0.558559749
chr2,3723054,3724526,0.538899463
chr2,3724526,3725998,0.373691333
chr2,3725998,3727141,0.363503656
chr2,3727141,3728449,0.352085258
chr2,3728449,3729921,0.544952637
chr2,3729921,3731393,0.841725557
chr2,3731393,3732865,0.584836918
chr2,3732865,3734337,0.46183336
chr2,3734337,3735809,0.495584239
chr2,3735809,3737281,0.472422477
chr2,3737281,3738753,0.618301206
chr2,3738753,3740225,0.546752681
chr2,3740225,3741697,0.560516357
chr2,3741697,3743169,0.841840993
chr2,3743169,3744641,0.7109239
chr2,3744641,3746113,0.511005443
chr2,3746113,3747217,0.779899298
chr2,3747333,3748805,0.571086161
chr2,3748805,3750277,2.050026935
chr2,3750277,3751749,0.922024437
chr2,3751749,3753221,0.5050871
chr2,3753221,3754693,0.832642964
chr2,3754693,3756165,0.439334247
chr2,3756165,3757637,0.513858671
chr2,3757637,3759109,0.42697015
chr2,3759109,3760581,0.633396729
chr2,3760581,3762053,0.749266417
chr2,3762053,3763525,0.406421392
chr2,3763572,3765044,0.598940186
chr2,3765044,3766516,0.541825588
chr2,3766532,3768004,0.387980786
chr2,3768004,3769427,0.829411716
chr2,3769427,3770899,0.907513494
chr2,3770899,3772371,0.535258169
chr2,3772371,3773843,0.423097859
chr2,3773843,3775315,0.521263537
chr2,3775315,3776787,0.334399431
chr2,3776807,3778279,0.449809779
chr2,3778279,3779751,0.532608696
chr2,3779751,3781223,0.35353078
chr2,3781239,3782711,0.435221531
chr2,3782711,3784183,0.293114496
chr2,3784183,3785287,0.327161756
chr2,3785343,3786447,0.326511628
chr2,3786703,3788175,0.431046196
chr2,3788175,3789647,0.468005664
chr2,3789647,3790799,0.493597542
chr2,3790799,3792271,0.373387704
chr2,3792271,3793743,0.373929692
chr2,3793743,3795051,0.340737058
chr2,3795051,3796523,0.281622527
chr2,3796523,3797627,0.598468936
chr2,3797698,3799170,0.60320439
chr2,3799170,3800642,1.022176372
chr2,3800642,3802114,0.429381425
chr2,3802114,3803586,0.429616946
chr2,3803586,3805058,0.460964894
chr2,3805058,3806530,0.418650842
chr2,3806609,3808081,0.438609044
chr2,3808081,3809553,0.414874285
chr2,3809553,3811025,0.448172008
chr2,3811025,3812497,0.331250004
chr2,3812497,3813945,0.40258704
chr2,3813945,3815186,0.329001196
chr2,3815186,3816292,0.753302025
chr2,3816292,3817764,1.001046222
chr2,3817764,3819236,0.680609322
chr2,3819236,3820708,0.667074648
chr2,3820708,3822180,0.609144045
chr2,3822180,3823652,0.548326829
chr2,3823652,3825124,0.329586246
chr2,3825124,3826596,0.268682514
chr2,3826596,3827870,0.416015992
chr2,3827870,3829342,0.376103257
chr2,3829342,3830814,0.445485628
chr2,3830814,3832286,0.413769124
chr2,3832286,3833758,0.265834531
chr2,3833758,3835230,0.418682098
chr2,3835230,3836520,0.127722769
chr2,3836548,3838020,0.315729542
chr2,3838020,3839492,0.430978277
chr2,3839492,3840964,0.574026364
chr2,3840964,3842436,0.514742522
chr2,3842436,3843540,0.216877633
chr2,3843923,3844291,0.176470571
chr2,3846225,3847543,0.164095382
chr2,3848197,3849540,0.192118227
chr2,3850135,3851589,0.237987683
chr2,3851589,3853061,0.539662076
chr2,3853109,3854581,0.440040911
chr2,3854581,3856053,0.41384083
chr2,3856053,3857160,0.251278772
chr2,3857160,3858632,0.310580465
chr2,3858632,3860104,0.328910615
chr2,3860104,3861576,0.24147352
chr2,3861576,3863048,0.477785318
chr2,3863048,3864520,0.439266288
chr2,3864520,3865992,0.323152714
chr2,3865992,3867464,0.426290761
chr2,3867464,3868936,0.352199013
chr2,3868936,3870408,0.556610066
chr2,3870408,3871880,0.424679926
chr2,3871880,3873352,0.591535278
chr2,3873352,3874456,0.267252744
chr2,3874691,3875808,0.253012048
chr2,3875909,3877381,0.478471507
chr2,3877381,3878853,0.456446036
chr2,3878853,3880325,0.274308963
chr2,3880548,3882020,0.45201366
chr2,3882020,3883492,0.458516285
chr2,3883627,3885099,0.396603294
chr2,3885099,3886571,0.351102941
chr2,3886571,3888043,0.592255426
chr2,3888043,3889324,0.281010113
chr2,3889324,3890796,0.489266313
chr2,3890796,3892268,0.352433646
chr2,3892268,3893501,0.336538462
chr2,3893501,3894618,0.395368666
chr2,3894618,3895901,0.132746964
chr2,3895901,3897373,0.435190242
chr2,3897373,3898845,0.371603261
chr2,3898845,3900317,0.455095125
chr2,3900317,3901789,0.322687225
chr2,3901789,3903261,0.277800717
chr2,3903322,3904794,0.297942387
chr2,3904794,3906266,0.410845831
chr2,3906266,3907738,0.383969457
chr2,3907738,3909210,0.441983721
chr2,3909210,3910682,0.61779893
chr2,3910682,3912154,0.452271053
chr2,3912154,3913302,0.307918734
chr2,3913302,3914774,0.307396263
chr2,3914774,3916246,0.55511014
chr2,3916355,3917827,0.25353186
chr2,3917827,3919299,0.465205331
chr2,3919299,3920568,0.458670865
chr2,3920568,3922040,0.332333854
chr2,3922040,3923512,0.413247316
chr2,3923512,3924658,0.421762382
chr2,3924658,3926130,0.540889947
chr2,3926130,3927602,0.596944247
chr2,3927602,3929074,0.247793095
chr2,3929074,3930546,0.444016489
chr2,3930546,3931742,0.476969709
chr2,3931742,3933214,0.338747693
chr2,3934004,3934372,0.343108504
chr2,3939022,3940161,0.402658675
chr2,3940161,3941633,0.405151712
chr2,3941633,3943105,0.475587837
chr2,3943105,3944577,0.451813127
chr2,3944577,3946049,0.43921293
chr2,3946049,3947521,0.579884488
chr2,3947521,3948681,0.697710326
chr2,3948681,3950153,0.449320669
chr2,3950153,3951625,0.296671204
chr2,3951625,3953097,0.374334488
chr2,3953097,3954280,0.327981238
chr2,3954280,3955752,0.588496221
chr2,3955752,3956910,0.2568132
chr2,3956910,3958382,0.438707428
chr2,3958382,3959854,0.570000027
chr2,3959854,3961326,0.507310883
chr2,3961326,3962798,0.467730978
chr2,3962798,3964270,0.419972041
chr2,3964270,3965742,2.056852191
chr2,3965742,3966478,0.521075177
chr2,3968673,3970066,0.183962264
chr2,3970952,3972424,0.399549559
chr2,3972424,3973896,0.378033498
chr2,3973896,3975120,0.365300298
chr2,3975120,3976592,0.431641456
chr2,3976683,3978104,0.398190936
chr2,3978104,3979576,0.272552437
chr2,3979576,3981048,0.551589613
chr2,3981048,3982520,0.396808506
chr2,3982520,3983992,0.322840819
chr2,3983992,3984360,0.582336208
chr2,3985517,3986982,0.482722014
chr2,3986982,3988454,0.27071946
chr2,3988454,3989558,0.222268032
chr2,3989660,3991132,0.425584692
chr2,3991132,3992604,0.491711948
chr2,3992604,3994076,0.444768989
chr2,3994076,3994984,0.274891775
chr2,3995386,3996858,0.513831553
chr2,3996858,3998330,0.301904095
chr2,3998330,3999802,0.541474176
chr2,3999802,4000538,0.406637175
chr2,4000913,4001649,0.314516129
chr2,4002150,4003622,0.353304633
chr2,4003622,4004726,0.163333329
chr2,4004738,4005906,0.209395973
chr2,4006049,4007409,0.31043803
chr2,4007409,4008528,0.280102692
chr2,4008528,4009722,0.528102234
chr2,4009722,4011194,0.504205165
chr2,4011194,4012338,0.388654992
chr2,4012513,4013985,0.344547765
chr2,4013985,4015457,0.541508136
chr2,4015457,4016929,0.507336948
chr2,4016929,4018401,0.421942918
chr2,4018401,4019873,0.509944588
chr2,4019873,4020977,0.492911912
chr2,4021061,4022533,0.341100548
chr2,4022533,4024005,0.453117811
chr2,4024005,4025477,0.277198453
chr2,4025477,4026949,0.516644063
chr2,4026949,4028421,0.501290736
chr2,4028421,4029596,0.17917078
chr2,4029596,4030744,0.379219623
chr2,4030744,4032216,0.360324163
chr2,4032322,4033716,0.230859835
chr2,4033716,4035030,0.361627907
chr2,4035066,4036538,0.296195652
chr2,4036538,4038010,0.527445586
chr2,4038010,4039482,0.437432082
chr2,4039482,4040954,0.553396805
chr2,4040954,4042426,0.418200967
chr2,4042426,4043898,0.353262547
chr2,4043898,4045016,0.514357417
chr2,4045016,4046488,0.515169849
chr2,4046488,4047592,0.25025641
chr2,4047803,4048960,0.375754649
chr2,4048960,4050103,0.282591506
chr2,4050103,4051575,0.409646739
chr2,4051575,4053047,0.403440557
chr2,4053047,4054519,0.492150212
chr2,4054579,4056051,0.311632805
chr2,4056051,4057523,0.425203821
chr2,4057523,4058995,0.455613314
chr2,4058995,4060467,0.394732863
chr2,4060467,4061939,0.317814746
chr2,4061939,4063411,0.46875
chr2,4063411,4064524,0.242797946
chr2,4064524,4065996,0.539662554
chr2,4065996,4067220,0.280167592
chr2,4067562,4069034,0.270941345
chr2,4069034,4070506,0.321661481
chr2,4070506,4071978,0.294494146
chr2,4071978,4073450,0.336218837
chr2,4073450,4074922,0.473274111
chr2,4074922,4075658,0.503147371
chr2,4076043,4077515,0.364353766
chr2,4077515,4078987,0.395392421
chr2,4078987,4079723,0.207692303
chr2,4080147,4081619,0.350958126
chr2,4081619,4083091,0.478341083
chr2,4083137,4084305,0.402117875
chr2,4084305,4085777,0.331507872
chr2,4085777,4086899,0.436641256
chr2,4086899,4088371,0.42233677
chr2,4088371,4089843,0.33798612
chr2,4089843,4091315,0.398389373
chr2,4091315,4092787,0.406496207
chr2,4092787,4094259,0.312822472
chr2,4094259,4095572,0.228527301
chr2,4095572,4097044,0.441100535
chr2,4097044,4098516,0.922377711
chr2,4098516,4099988,0.333357834
chr2,4099988,4101460,0.392670904
chr2,4101460,4102932,0.424517923
chr2,4103204,4104676,0.432712956
chr2,4104889,4106361,0.344209801
chr2,4106361,4107833,0.327528119
chr2,4107833,4109305,0.497799313
chr2,4109305,4110777,0.403668487
chr2,4110777,4112249,0.460541337
chr2,4112249,4113721,0.448340283
chr2,4113721,4115193,0.486956472
chr2,4115193,4116665,0.524030451
chr2,4116665,4117848,0.214377686
chr2,4117848,4119320,0.31358116
chr2,4119320,4120792,0.54243888
chr2,4120792,4122264,0.54414919
chr2,4122279,4123751,0.367156854
chr2,4123751,4125223,0.302173913
chr2,4125223,4126695,0.187644799
chr2,4126695,4128167,0.279651148
chr2,4128310,4129477,0.275082334
chr2,4129477,4130949,0.437354886
chr2,4130949,4132421,0.360937492
chr2,4132421,4133525,0.444840373
chr2,4133648,4135120,0.3511498
chr2,4135120,4136258,0.416149739
chr2,4136258,4137371,0.349288055
chr2,4137371,4138521,0.322708352
chr2,4138521,4139993,0.572587068
chr2,4139993,4141465,0.433627709
chr2,4141465,4142937,0.463474676
chr2,4142937,4144409,0.359436871
chr2,4144750,4146222,0.352800546
chr2,4146222,4147694,0.350387606
chr2,4147694,4149166,0.452105978
chr2,4149166,4150638,0.458663045
chr2,4150638,4151914,0.450807229
chr2,4151914,4153386,0.425747291
chr2,4153386,4154858,0.563111305
chr2,4154858,4156330,0.523091026
chr2,4156330,4157802,0.464445231
chr2,4157802,4159274,0.453086445
chr2,4159274,4160746,0.484268589
chr2,4160746,4162218,0.332312163
chr2,4162218,4163346,0.363067596
chr2,4163346,4164589,0.424685394
chr2,4164589,4165706,0.271646051
chr2,4165706,4167178,0.297645327
